Parcelle,Date,Observateur,Stade_floraison,Pourcentage_floraison,Dynamique_floraison,,
12,2020-06-09,mr,E1,0,+,,
12,2020-06-19,mr_lc,E1,0,+,,
12,2020-06-25,mr,E3,0,+,,
12,2020-07-02,mr,F,1,+,,
12,2020-07-10,lc,F,70,+,,
12,2020-07-17,mr_lc,F,100,+,,
12,2020-07-23,mr_lc,F,20,-,,
12,2020-07-30,mr_lc,F,0,-,,
12,2020-08-13,mr_lc,F,0,-,,
12,2020-08-19,mr,F,0,-,,
12,2020-08-26,mr,D,0,-,,
46,2020-06-09,mr,B6,0,+,,
46,2020-06-19,mr_lc,B11,0,+,,
46,2020-06-25,mr,E1,0,+,,
46,2020-07-02,mr,E2,0,+,,
46,2020-07-10,lc,E4,0,+,,
46,2020-07-17,mr_lc,F,5,+,,
46,2020-07-23,mr_lc,F,90,+,,
46,2020-07-30,mr_lc,F,95,-,,
46,2020-08-06,mr_lc,F,2,-,,
46,2020-08-13,mr_lc,F,0,-,,
46,2020-08-19,mr,F,0,-,,
46,2020-08-26,mr,D,0,-,,
46,2020-09-02,mr,D,0,-,,
116,2020-06-08,mr,B9,0,+,,
116,2020-06-19,mr_lc,E2,0,+,,
116,2020-06-25,mr,E2,0,+,,
116,2020-07-02,mr,F,2,+,,
116,2020-07-10,lc,F,80,+,,
116,2020-07-17,mr_lc,F,90,-,,
116,2020-07-23,mr_lc,F,10,-,,
116,2020-07-30,mr_lc,F,0,-,,
116,2020-08-13,mr_lc,F,0,-,,
116,2020-08-19,mr,F,0,-,,
116,2020-08-26,mr,D,0,-,,
321,2020-06-25,mr,B6,0,+,,
321,2020-07-02,mr,E1,0,+,,
321,2020-07-10,lc,E2,0,+,,
321,2020-07-17,mr_lc,E4,0,+,,
321,2020-07-23,mr_lc,F,2,+,,
321,2020-07-30,mr_lc,F,95,+,,
321,2020-08-06,mr_lc,F,40,-,,
321,2020-08-13,mr_lc,F,0,-,,
321,2020-08-26,mr,D,0,-,,
321,2020-09-02,mr,D,0,-,,
376,2020-06-08,mr,B6,0,+,,
376,2020-06-19,mr_lc,B8,0,+,,
376,2020-06-25,mr,B10,0,+,,
376,2020-07-02,mr,E1,0,+,,
376,2020-07-10,lc,E2,0,+,,
376,2020-07-17,mr_lc,E4,0,+,,
376,2020-07-23,mr_lc,F,20,+,,
376,2020-07-30,mr_lc,F,100,+,,
376,2020-08-06,mr_lc,F,5,-,,
376,2020-08-13,mr_lc,F,1,-,,
376,2020-08-19,mr,F,0,-,,
376,2020-08-26,mr,D,0,-,,
376,2020-09-02,mr,D,0,-,,
457,2020-06-10,mr,E1,0,+,,
457,2020-06-19,mr_lc,E1,0,+,,
457,2020-06-25,mr,E3,0,+,,
457,2020-07-03,mr,F,5,+,,
457,2020-07-10,lc,F,80,+,,
457,2020-07-16,mr_lc,F,60,+,,
457,2020-07-24,mr_lc,F,25,-,,
457,2020-08-12,mr_lc,F,0,-,,
457,2020-08-19,mr,F,0,-,,
457,2020-08-26,mr,D,0,-,,
1823,2020-06-08,mr,B6,0,+,,
1823,2020-06-25,mr,B12,0,+,,
1823,2020-07-02,mr,E2/E3,0,+,,
1823,2020-07-10,lc,E4,0,+,,
1823,2020-07-17,mr_lc,F,2,+,,
1823,2020-07-23,mr_lc,F,95,+,,
1823,2020-07-30,mr_lc,F,85,-,,
1823,2020-08-06,mr_lc,F,5,-,,
1823,2020-08-13,mr_lc,F,2,-,,
1823,2020-08-19,mr,F,0,-,,
