Parcelle,Audiomoth,Ligne,Pied,Position_audiomoth,gps,Point GPS (si dans parcelle non suivie),date pose,date recup,
12,17,l3,t1,l3_t1,,,3/7/2020,,
46,11,,,,ng2,71,23/07/20,,
116,18,l1,t1,l1_t1,,,3/7/2020,13/07/20,
116,19,l3,t1,l3_t1,,,3/7/2020,,
321,5,,,,ng2,82,27/07/20,,
376,7,l3,t1,l3_t1,,,21/07/20,,
457,23,,,,t2,470,3/7/2020,,
1823,22,l3,t1,l3_t1,,,14/07/20,,
2187,20,l3,t1,l3_t1,,,21/07/20,,
2230,29,l3,t1,l3_t1,,,11/7/2020,,
2935,23,,,,ng2,99,,,
2939,18,l3,t1,l3_t1,,,13/07/20,,
3107,6,l3,t1,l3_t1,,,13/07/20,,
3253,26,l3,t1,l3_t1,,,15/07/20,,
3271,21,l3,t1,l3_t1,,,14/07/20,,
4151,16,,,,t2_ng2,469_039,3/7/2020,,
4566,12,l3,t1,l3_t1,,,20/07/20,,
5287,3,,,,ng2,001_002,11/7/2020,,
5572,10,l3,t2,l3_t2,,,15/07/20,,
5595,30,l3,t1,l3_t1,,,11/7/2020,,
5867,27,l3,t1,l3_t1,,,9/7/2020,,
6223,28,l3,t1,l3_t1,,,9/7/2020,,
7029,16,l3,t1,l3_t1,,,20/07/20,,
7413,25,l3,t1,l3_t1,,,3/7/2020,,
7507,2,l3,t1,l3_t1,,,9/7/2020,,
7941,30,,,,ng2,98,,,
7944,31,,,,ng2,40,18/07/20,,
7951,4,,,,t2,467,2/7/2020,,
8690,1,l3,t1,l3_t1,,,14/07/20,,
9523,22,l1,t2,l1_t2,,,3/7/2020,14/07/20,a verif recup
9523,20,l3,t2,l3_t2,,,3/7/2020,,
9546,9,,,,t2,468,2/7/2020,,
10106,13,l3,t1,l3_t1,,,2/7/2020,,
10486,14,l1,t1,l1_t1,,,3/7/2020,13/07/20,
10486,15,l3,t1,l3_t1,,,3/7/2020,,
10626,6,l1,t2,l1_t2,,,2/7/2020,11/7/2020,
10626,12,l3,t2,l3_t2,,,2/7/2020,,
12026,32,,,,ng2,38,18/07/20,,
12277,9,,,,ng2,36,18/07/20,,
12446,1,l1,t1,l1_t1,,,2/7/2020,13/07/20,
12446,8,l3,t1,l3_t1,,,2/7/2020,,
12473,3,l1,t1,l1_t1,,,2/7/2020,11/7/2020,
12473,5,l3,t1,l3_t1,,,2/7/2020,,
13138,14,l3,t2,l3_t2,,,14/07/20,,
13253,21,l1,t1,l1_t1,,,3/7/2020,14/07/20,
13253,24,l3,t1,l3_t1,,,3/7/2020,,
14499,10,l1,t2,l1_t2,,,2/7/2020,14/07/20,a verif recup
14499,7,l3,t2,l3_t2,,,2/7/2020,,
15339,2,l1,t1,l1_t1,,,2/7/2020,14/07/20,a verif recup
15339,11,l3,t1,l3_t1,,,2/7/2020,,
16659,23,,,,ng2,37,18/07/20,,
17019,4,l3,t1,l3_t1,,,29/07/20,,
17019,17,l1,t2,l1_t2,,,31/07/20,,
