"Parcelle";"Traitement";"ID_Zone";"Individu";"Total_poids_graines_avnettoyage";"P.graines";"Poids_graine_1";"Poids_graine_2";"Poids_graines_3";"T.graines";"PMG";"Hauteur";"Diametre"
12;"GM";"CAGE";1;55,1;50,1;61,69;60,85;60,29;721;60,9433333333333;138;155
12;"GM";"CAGE";2;60,7;56,8;59,28;55,82;39,75;1018;51,6166666666667;144;160
12;"GM";"CAGE";3;77,8;72,5;91,12;68,73;72,72;1012;77,5233333333333;135;165
12;"GM";"SACHET";1;116,6;106;111,8;91,29;105,77;990;102,953333333333;133;234
12;"GM";"SACHET";2;70,7;61,4;99,74;87,65;98,28;1284;95,2233333333333;157;205
12;"GM";"SACHET";3;126,4;113,8;99,76;87,6;98,32;1177;95,2266666666667;136;238
12;"GM";"SACHET";4;143;129,5;101,91;112,24;114,78;1280;109,643333333333;123;256
12;"GM";"SACHET";5;80,3;74,9;54,44;64,2;58,54;1239;59,06;163;191
12;"GM";"SACHET";6;36,9;21,9;43,35;42,13;43,19;453;42,89;138;131
12;"PM";"CAGE";1;50,8;43,3;40,72;66,18;47,49;751;51,4633333333333;153;154
12;"PM";"CAGE";2;60,6;56,2;50,94;82,02;52,6;921;61,8533333333333;142;158
12;"PM";"CAGE";3;27,2;22,7;39,3;40,44;40,13;391;39,9566666666667;146;116
12;"PM";"SACHET";1;54,4;38,3;48,68;61,45;52,86;807;54,33;153;163
12;"PM";"SACHET";2;122,7;115,6;88,01;102,16;82,2;1343;90,79;158;230
12;"PM";"SACHET";3;110,1;103,6;85,65;94,42;90,12;1168;90,0633333333333;126;214
12;"PM";"SACHET";4;93,3;88,2;76,54;86,5;78,27;1173;80,4366666666667;136;198
12;"PM";"SACHET";5;63,4;52,6;43,03;50,62;55,97;1092;49,8733333333333;160;185
12;"PM";"SACHET";6;63;58,4;58,1;57,51;61,32;947;58,9766666666667;159;163
12;"PM + Abeille";"CAGE";1;68,4;64,8;60,88;44,63;76,44;1035;60,65;145;184
12;"PM + Abeille";"CAGE";2;55,1;52,4;71,9;56,1;41,73;925;56,5766666666667;149;162
12;"PM + Abeille";"CAGE";3;91,6;85,7;106,7;93,2;101,7;951;100,533333333333;138;192
12;"PM + Pollen";"SACHET";3;81,7;76,5;55,95;61,53;75,3;1002;64,26;134;202
12;"PM + Pollen";"SACHET";6;93,7;88,5;75,49;82,31;84,2;1278;80,6666666666667;148;197
12;"NF";"CAGE";1;85,3;81,2;54,33;67,61;73,81;1108;65,25;132;194
12;"NF";"CAGE";2;53,7;48,8;53,17;58,67;45,19;971;52,3433333333333;121;143
12;"NF";"CAGE";3;64,5;60,1;80,15;69,35;63,06;810;70,8533333333333;138;150
12;"NF1";"SACHET";1;118,5;104,7;95,36;98,58;103,46;1960;99,1333333333333;125;238
12;"NF1";"SACHET";2;97,2;92,7;69,04;75,98;76,17;1346;73,73;153;198
12;"NF1";"SACHET";3;123,1;115,9;95,7;82,08;81,85;1201;86,5433333333333;119;230
12;"NF1";"SACHET";4;133,4;125,9;87,59;70,19;70,1;1509;75,96;120;231
12;"NF1";"SACHET";5;70,2;65,4;76,16;75,63;35,35;1114;62,38;169;190
12;"NF1";"SACHET";6;60,7;56,6;62,52;51,54;74,29;862;62,7833333333333;163;163
12;"NF2";"SACHET";1;114,4;107,5;64,51;67,5;79,94;1415;70,65;143;225
12;"NF2";"SACHET";3;83;74,2;78,4;40,24;70,54;1356;63,06;123;198
12;"NF2";"SACHET";6;92,9;89,4;77,3;73,77;81,07;1197;77,38;152;186
46;"MICRO";"MICRO";1;54,6;46,4;21,8;31,5;28,4;1685;27,2333333333333;NA;NA
116;"GM";"CAGE";1;51,2;47,1;46,65;93,93;76,88;671;72,4866666666667;128;132
116;"GM";"CAGE";2;54,2;48,2;78,23;55,14;54,01;701;62,46;107;136
116;"GM";"CAGE";3;55,1;49,8;69,92;78,16;83,56;694;77,2133333333333;123;148
116;"GM";"SACHET";1;130,6;121,9;91,26;105,88;98,27;1424;98,47;113;245
116;"GM";"SACHET";2;59,9;53,8;65,42;45,11;65,21;1059;58,58;136;172
116;"GM";"SACHET";3;33,5;26,6;31,46;17,09;48,11;579;32,22;146;131
116;"GM";"SACHET";4;96,8;90;107,6;100,71;95,36;1018;101,223333333333;119;200
116;"GM";"SACHET";5;37,7;28,4;57,9;52,33;56,17;532;55,4666666666667;109;138
116;"GM";"SACHET";6;98,8;92;102,24;97,25;94,91;1661;98,1333333333333;100;199
116;"PM";"CAGE";1;58,1;54,4;64,1;64,99;63,84;793;64,31;114;158
116;"PM";"CAGE";2;50,2;44,7;85,74;58,01;87,46;643;77,07;115;150
116;"PM";"CAGE";3;41,7;34,8;73,66;60,23;64,61;563;66,1666666666667;122;137
116;"PM";"SACHET";1;120,4;112,5;104,27;104,51;108,7;1227;105,826666666667;135;238
